LSOA11CD,Employee
E01001096,219
E01001097,2089
E01001098,199
E01001099,217
E01001100,186
E01001101,166
E01001102,598
E01001103,502
E01001104,496
E01001105,205
E01001106,323
E01001107,360
E01001108,245
E01001109,1295
E01001110,499
E01001111,555
E01001112,1007
E01001113,319
E01001114,489
E01001115,211
E01001116,477
E01001117,670
E01001118,548
E01001119,260
E01001120,276
E01001121,295
E01001122,338
E01001123,293
E01001124,254
E01001125,965
E01001126,170
E01001127,196
E01001128,126
E01001129,247
E01001130,111
E01001131,190
E01001132,370
E01001133,240
E01001134,287
E01001135,592
E01001136,1130
E01001137,405
E01001138,555
E01001139,206
E01001140,333
E01001141,206
E01001142,260
E01001143,310
E01001144,298
E01001145,598
E01001146,141
E01001147,361
E01001148,210
E01001149,226
E01001150,172
E01001151,287
E01001152,612
E01001153,173
E01001154,516
E01001155,824
E01001156,228
E01001157,244
E01001158,215
E01001159,330
E01001160,346
E01001161,420
E01001162,444
E01001163,331
E01001164,1217
E01001165,361
E01001166,759
E01001167,1091
E01001168,592
E01001169,208
E01001170,536
E01001171,634
E01001172,2783
E01001173,643
E01001174,213
E01001175,174
E01001176,385
E01001177,472
E01001178,3112
E01001179,160
E01001180,305
E01001181,503
E01001182,273
E01001183,701
E01001184,97
E01001185,332
E01001186,535
E01001187,262
E01001188,293
E01001189,117
E01001190,145
E01001191,622
E01001192,216
E01001193,180
E01001194,372
E01001195,199
E01001196,435
E01001197,397
E01001198,221
E01001199,289
E01001200,327
E01001201,317
E01001202,993
E01001203,522
E01001204,198
E01001205,473
E01001206,285
E01001207,401
E01001208,285
E01001209,535
E01001210,189
E01001211,251
E01001212,312
E01001213,140
E01001214,314
E01001215,941
E01001216,132
E01001217,209
E01001218,214
E01001219,169
E01001220,405
E01001221,4459
E01001222,1518
E01001223,371
E01001224,453
E01001225,814
E01001226,660
E01001227,254
E01001228,3442
E01001229,180
E01001230,985
E01001231,401
E01001232,214
E01001233,429
E01001234,434
E01001235,801
E01001236,299
E01001237,355
E01001238,3471
E01001239,1728
E01001240,296
E01001241,379
E01001242,218
E01001243,515
E01001244,452
E01001245,542
E01001246,3637
E01001247,8609
E01001248,977
E01001249,933
E01001250,519
E01001251,647
E01001252,807
E01001253,1051
E01001254,423
E01001255,203
E01001257,180
E01001258,308
E01001259,337
E01001260,283
E01001261,2304
E01001262,252
E01001263,259
E01001264,188
E01001265,1944
E01001266,1853
E01001267,539
E01001268,285
E01001269,418
E01001270,216
E01001271,1090
E01001272,1488
E01001273,523
E01001274,168
E01001275,222
E01001276,1332
E01001277,3476
E01001278,862
E01001279,196
E01001280,389
E01001281,324
E01001282,213
E01001283,411
E01001284,287
E01001285,293
E01001286,212
E01001287,147
E01001288,560
E01001289,217
E01001290,520
E01001291,179
E01001292,191
E01001293,214
E01001294,327
E01001295,146
E01001296,191
E01001297,298
E01001298,319
E01001299,445
E01001300,337
E01001301,728
E01001302,405
E01001303,526
E01001304,226
E01001305,268
E01001306,385
E01001307,542
E01001308,333
E01001309,463
E01001310,205
E01001311,1298
E01001312,387
E01001313,208
E01001314,268
E01001315,200
E01001316,227
E01001317,431
E01001318,214
E01001319,152
E01001320,159
E01001321,438
E01001322,1104
E01001323,620
E01001324,155
E01001325,274
E01001326,586
E01001327,281
E01001328,294
E01001329,165
E01001330,145
E01001331,166
E01001332,149
E01001333,682
E01001334,173
E01001335,284
E01001336,288
E01001337,3068
E01001338,2034
E01001339,2080
E01001340,1392
E01001341,977
E01001342,328
E01001343,1121
E01001344,1258
E01001345,404
E01001346,343
E01001347,2037
E01001348,428
E01001349,254
E01001350,300
E01001351,1527
E01001352,595
E01001353,675
E01001354,797
E01001355,730
E01001356,468
E01001357,164
E01001358,1972
E01001359,472
E01001360,205
E01001361,1885
E01001362,696
E01001363,196
E01001364,153
E01001365,676
E01001366,405
E01001367,1048
E01001368,172
E01001369,461
E01001370,969
E01001371,326
E01001372,392
E01001373,486
E01001374,280
E01001375,345
E01001376,250
E01001377,316
E01001379,276
E01001380,331
E01001381,2477
E01001382,206
E01001383,240
E01001384,444
E01001385,396
E01001386,1184
E01001387,1899
E01001388,1033
E01001389,805
E01001390,395
E01001391,251
E01001392,280
E01001393,488
E01001394,417
E01001395,160
E01001396,454
E01001397,359
E01001398,191
E01001399,271
E01001400,351
E01001401,194
E01001402,662
E01001403,350
E01001404,205
E01001405,440
E01001406,504
E01001407,488
E01001408,314
E01001409,380
E01001410,339
E01001411,683
E01001412,1903
E01001413,270
E01001414,138
E01001415,1317
E01001416,191
E01001417,773
E01001418,620
E01001419,640
E01001420,407
E01001421,279
E01001422,336
E01001423,442
E01001424,98
E01001425,601
E01001426,224
E01001427,2240
E01001428,232
E01001429,2122
E01001430,360
E01001431,190
E01001432,364
E01001433,771
E01001434,141
E01001435,133
E01001436,205
E01001437,5333
E01001438,377
E01001439,638
E01001440,396
E01001441,531
E01001442,251
E01001444,269
E01001445,2221
E01001446,213
E01001447,221
E01001448,345
E01001449,249
E01001450,2442
E01001451,310
E01001452,227
E01001453,197
E01001454,387
E01001455,222
E01001456,219
E01001457,1077
E01001458,287
E01001459,256
E01001460,353
E01001461,450
E01001462,198
E01001463,282
E01001464,301
E01001465,492
E01001466,178
E01001467,156
E01001468,4029
E01001469,209
E01001470,316
E01001471,397
E01001472,347
E01001473,465
E01001474,298
E01001475,184
E01001476,195
E01001477,344
E01001478,273
E01001479,485
E01001480,350
E01001481,278
E01001482,139
E01001483,267
E01001484,563
E01001485,217
E01001486,158
E01001487,365
E01001488,184
E01001489,536
E01001491,445
E01001492,148
E01001493,288
E01001494,164
E01001495,433
E01001496,214
E01001497,158
E01001498,1256
E01001499,205
E01001500,565
E01001501,853
E01001502,653
E01001503,201
E01001504,751
E01001505,459
E01001506,1217
E01001507,1241
E01001508,589
E01001509,172
E01001510,125
E01001511,1678
E01001512,977
E01001513,3302
E01001514,327
E01001515,348
E01001516,747
E01001517,198
E01001518,511
E01001519,4695
